Info 0    [23:15:09.645] Starting TS Server
Info 1    [23:15:09.649] Version: 4.2.4
Info 2    [23:15:09.649] Arguments: /Users/desmond/.nvm/versions/node/v16.0.0/bin/node /Users/desmond/.nvm/versions/node/v16.0.0/bin/tsserver --logFile /Users/desmond/Documents/dotfiles/.log/tsserver.log --logVerbosity info --cancellationPipeName /private/var/folders/xb/279dqn9j1p93ph316tx1xc9c0000gn/T/6077c57b9fbe87698fca01ef71d5346b/tscancellation*
Info 3    [23:15:09.649] Platform: darwin NodeVersion: 16 CaseSensitive: false
Info 4    [23:15:09.649] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [23:15:09.667] Search path: /Users/desmond/Documents/dotfiles/Ubersicht/istats.widget
Info 6    [23:15:09.668] For info: /Users/desmond/Documents/dotfiles/Ubersicht/istats.widget/index.jsx :: No config files found.
Info 7    [23:15:09.675] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 8    [23:15:10.401] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 725.7211179994047ms
Info 9    [23:15:10.401] Project '/dev/null/inferredProject1*' (Inferred)
Info 10   [23:15:10.401] 	Files (24)

Info 11   [23:15:10.401] -----------------------------------------------
Info 12   [23:15:29.399] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 13   [23:15:29.413] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false Elapsed: 13.937681999057531ms
Info 14   [23:15:29.414] Different program with same set of files:: structureIsReused:: 2
Info 15   [23:15:34.461] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 16   [23:15:34.468] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false Elapsed: 6.767949000000954ms
Info 17   [23:15:34.468] Different program with same set of files:: structureIsReused:: 2
Info 18   [23:15:35.381] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 19   [23:15:35.740] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: true Elapsed: 358.8820849992335ms
Info 20   [23:15:35.741] Project '/dev/null/inferredProject1*' (Inferred)
Info 21   [23:15:35.741] 	Files (29)

Info 22   [23:15:35.741] -----------------------------------------------
Info 23   [23:15:36.466] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 24   [23:15:36.475] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false Elapsed: 9.340917997062206ms
Info 25   [23:15:36.475] Different program with same set of files:: structureIsReused:: 2
